green apples/adjectives,synonyms,set
Amazing,"astonishing, surprising, wonderful","[Expansion Set 3, Party Expansion 1]"
Attractive,"alluring, engaging, good-looking","[Expansion Set 3, Party Expansion 1]"
Bashful,"shy, timid, modest","[Expansion Set 3, Party Expansion 1]"
Brutal,"cruel, crude, harsh","[Expansion Set 3, Party Expansion 1]"
Clever,"intelligent, ingenious, witty","[Expansion Set 3, Party Expansion 1]"
Clumsy,"awkward, bumbling, uncoordinated","[Expansion Set 3, Party Expansion 1]"
Conceited,"vain, smug, self-centered","[Expansion Set 3, Party Expansion 1]"
Controversial,"contentious, disputable, debatable","[Expansion Set 3, Party Expansion 1]"
Cozy,"comfortable, snug, warm","[Expansion Set 3, Party Expansion 1]"
Crisp,"brittle, brisk, fresh","[Expansion Set 3, Party Expansion 1]"
Dark,"unlit, morbid, sinister","[Expansion Set 3, Party Expansion 1]"
Dashing,"gallant, bold, elegant","[Expansion Set 3, Party Expansion 1]"
Devious,"sneaky, shifty, tricky","[Expansion Set 3, Party Expansion 1]"
Edgy,"irritable, nervous, tense","[Expansion Set 3, Party Expansion 1]"
Enchanting,"captivating, charming, spell-binding","[Expansion Set 3, Party Expansion 1]"
Endangered,"at risk, threatened, unprotected","[Expansion Set 3, Party Expansion 1]"
Energetic,"active, vigorous, forceful","[Expansion Set 3, Party Expansion 1]"
Enjoyable,"pleasurable, entertaining, fun","[Expansion Set 3, Party Expansion 1]"
Enormous,"large, huge, gigantic","[Expansion Set 3, Party Expansion 1]"
Entertaining,"amusing, festive, enjoyable","[Expansion Set 3, Party Expansion 1]"
Evil,"wicked, corrupt, depraved","[Expansion Set 3, Party Expansion 1]"
Famous,"well-known, celebrated, distinguished","[Expansion Set 3, Party Expansion 1]"
Fashionable,"stylish, dashing, current","[Expansion Set 3, Party Expansion 1]"
Fast,"swift, quick, rapid","[Expansion Set 3, Party Expansion 1]"
Flaky,"foolish, eccentric, crispy","[Expansion Set 3, Party Expansion 1]"
Flamboyant,"ornate, pompous, extravagant","[Expansion Set 3, Party Expansion 1]"
Flavorful,"tasty, savory, pungent","[Expansion Set 3, Party Expansion 1]"
Flawed,"imperfect, defective, unsound","[Expansion Set 3, Party Expansion 1]"
Fragile,"delicate, frail, breakable","[Expansion Set 3, Party Expansion 1]"
Fun,"enjoyable, playful, amusing","[Expansion Set 3, Party Expansion 1]"
Gloomy,"dreary, depressing, sullen","[Expansion Set 3, Party Expansion 1]"
