green apples/adjectives,synonyms,set
Amazing,"surprising, wonderful",[Junior 9+ (1st) & (2nd)]
Awful,"very bad, horrible",[Junior 9+ (1st) & (2nd)]
Beautiful,"pretty, lovely",[Junior 9+ (1st) & (2nd)]
Bumpy,"lumpy, bouncy",[Junior 9+ (1st) & (2nd)]
Busy,"active, unavailable",[Junior 9+ (1st) & (2nd)]
Calm,"peaceful, still",[Junior 9+ (1st) & (2nd)]
Careful,"cautious, thoughtful",[Junior 9+ (1st) & (2nd)]
Cheerful,"happy, lively",[Junior 9+ (1st) & (2nd)]
Chewy,"gummy, rubbery",[Junior 9+ (1st) & (2nd)]
Clumsy,"awkward, not graceful",[Junior 9+ (1st) & (2nd)]
Comfortable,"cozy, pleasant",[Junior 9+ (1st) & (2nd)]
Cool,"not hot, chilled",[Junior 9+ (1st) & (2nd)]
Cozy,"comfortable, warm",[Junior 9+ (1st) & (2nd)]
Crazy,"silly, foolish",[Junior 9+ (1st) & (2nd)]
Crunchy,"crispy, crackling",[Junior 9+ (1st) & (2nd)]
Cuddly,"cozy, soft",[Junior 9+ (1st) & (2nd)]
Delicate,"breakable, dainty",[Junior 9+ (1st) & (2nd)]
Delicious,"tasty, pleasing",[Junior 9+ (1st) & (2nd)]
Dull,"not sharp, plain",[Junior 9+ (1st) & (2nd)]
Easy,"simple, not hard",[Junior 9+ (1st) & (2nd)]
Enjoyable,"pleasant, fun",[Junior 9+ (1st) & (2nd)]
Excellent,"very good, outstanding",[Junior 9+ (1st) & (2nd)]
Expensive,"costly, high priced",[Junior 9+ (1st) & (2nd)]
Fragile,"delicate, weak",[Junior 9+ (1st) & (2nd)]
Fresh,"new, clean",[Junior 9+ (1st) & (2nd)]
Friendly,"kind, nice",[Junior 9+ (1st) & (2nd)]
Frightening,"scary, horrifying",[Junior 9+ (1st) & (2nd)]
Furry,"hairy, fuzzy",[Junior 9+ (1st) & (2nd)]
Gentle,"tame, mild",[Junior 9+ (1st) & (2nd)]
Goofy,"silly, weird",[Junior 9+ (1st) & (2nd)]
Harmful,"hurtful, damaging",[Junior 9+ (1st) & (2nd)]
Healthy,"not sick, well",[Junior 9+ (1st) & (2nd)]
Honest,"trustworthy, truthful",[Junior 9+ (1st) & (2nd)]
Horrible,"frightening, awful",[Junior 9+ (1st) & (2nd)]
Huge,"big, large",[Junior 9+ (1st) & (2nd)]
Kind,"nice, helpful",[Junior 9+ (1st) & (2nd)]
Lazy,"slow, careless",[Junior 9+ (1st) & (2nd)]
Little,"small, tiny",[Junior 9+ (1st) & (2nd)]
Loving,"caring, kind",[Junior 9+ (1st) & (2nd)]
Lucky,"fortunate, favored",[Junior 9+ (1st) & (2nd)]
Messy,"sloppy, dirty",[Junior 9+ (1st) & (2nd)]
Mushy,"soft, squishy",[Junior 9+ (1st) & (2nd)]
Neat,"clean, orderly",[Junior 9+ (1st) & (2nd)]
Odd,"unusual, strange",[Junior 9+ (1st) & (2nd)]
Painful,"hurting, sore",[Junior 9+ (1st) & (2nd)]
Peaceful,"calm, quiet",[Junior 9+ (1st) & (2nd)]
Plain,"simple, dull",[Junior 9+ (1st) & (2nd)]
Playful,"fun, cheerful",[Junior 9+ (1st) & (2nd)]
Powerful,"strong, forceful",[Junior 9+ (1st) & (2nd)]
Proud,"dignified, satisfied",[Junior 9+ (1st) & (2nd)]
Quick,"fast, speedy",[Junior 9+ (1st) & (2nd)]
Relaxed,"calm, not tense",[Junior 9+ (1st) & (2nd)]
Round,"circular, ring shaped",[Junior 9+ (1st) & (2nd)]
Sad,"unhappy, gloomy",[Junior 9+ (1st) & (2nd)]
Scary,"frightening, spooky",[Junior 9+ (1st) & (2nd)]
Serious,"important, thoughtful",[Junior 9+ (1st) & (2nd)]
Silent,"quiet, still",[Junior 9+ (1st) & (2nd)]
Silky,"smooth, soft",[Junior 9+ (1st) & (2nd)]
Simple,"plain, easy",[Junior 9+ (1st) & (2nd)]
Skillful,"expert, talented",[Junior 9+ (1st) & (2nd)]
Slimy,"slippery, gooey",[Junior 9+ (1st) & (2nd)]
Smart,"intelligent, clever",[Junior 9+ (1st) & (2nd)]
Smelly,"stinky, bad odor",[Junior 9+ (1st) & (2nd)]
Talented,"skillful, gifted",[Junior 9+ (1st) & (2nd)]
Tame,"not wild, mild",[Junior 9+ (1st) & (2nd)]
Thin,"skinny, narrow",[Junior 9+ (1st) & (2nd)]
Tough,"strong, hard",[Junior 9+ (1st) & (2nd)]
Trustworthy,"dependable, honest",[Junior 9+ (1st) & (2nd)]
Unhappy,"sad, sorrowful",[Junior 9+ (1st) & (2nd)]
Useless,"worthless, not valuable",[Junior 9+ (1st) & (2nd)]
Weak,"not strong, sickly",[Junior 9+ (1st) & (2nd)]
Young,"not old, new",[Junior 9+ (1st) & (2nd)]
