red apples/nouns,description,set
A Bad Haircut,The perfect start to a bad hair day.,"[Expansion Set 1, Party Set]"
A Dozen Red Roses,When eleven just won't do.,"[Expansion Set 1, Party Set]"
A Full Moon,"""When the moon hits your eye like a big pizza pie, that's amore!"" -Dean Martin","[Expansion Set 1, Party Set]"
A Haunted House,Maybe if people would STOP building their dream homes on ancient burial grounds ...,"[Expansion Set 1, Party Set]"
A School Bus,The only thing we have to fear is fear itself. -Franklin D. Roosevelt,"[Expansion Set 1, Party Set]"
A Tree House,Your first high-rise apartment.,"[Expansion Set 1, Party Set]"
Airline Food,Since when is a bag of peanuts considered a meal?,"[Expansion Set 1, Party Set]"
Al Pacino,"1940- , Oscar winning American actor and star of ""The Godfather,"" ""Dog Day Afternoon"" and ""Scent Of A Woman."" One very intense guy.","[Expansion Set 1, Party Set]"
Alien Abductions,There was a blinding light -and she was gone!,"[Expansion Set 1, Party Set]"
Apple Pie,It's as American as ... as ... something ...,"[Expansion Set 1, Party Set]"
Austin Powers,"Fictional British man of mystery. Yeah, bay-beee, yeah!","[Expansion Set 1, Party Set]"
Australian Outback,"Beware of dangerous temperatures, strange animals, and didgeridoos.","[Expansion Set 1, Party Set]"
Backstreet Boys,The latest American pop boy band. Which one do you think is the cutest?,"[Expansion Set 1, Party Set]"
Bagpipes,A shrill-toned musical instrument consisting of a leather bag and pipes. Also available in plaid.,"[Expansion Set 1, Party Set]"
Baking Cookies,An experience only surpassed by eating them.,"[Expansion Set 1, Party Set]"
Bald Eagles,"Known for their majestic appearance and powerful flight. In 1782, the bald eagle was chosen as the emblem of the United States.","[Expansion Set 1, Party Set]"
Ballerinas,"Beautiful, graceful dancers who are always on their toes.","[Expansion Set 1, Party Set]"
Barbara Walters,"1931- , American television journalist and author. Voted one of the most important women of the century by ""Ladies Home Journal.""","[Expansion Set 1, Party Set]"
Barbed Wire,"Wire with sharp points, used for fences. Created havoc on the western frontier.","[Expansion Set 1, Party Set]"
Bats,The little brown bat consumes as many as 600 mosquitoes in an hour. The vampire bat dines elsewhere ...,"[Expansion Set 1, Party Set]"
Beach Parties,"Up for some ""Beach Blanket Bingo,"" Annette?","[Expansion Set 1, Party Set]"
Beanie Babies,Tiny plush collectible to love and cherish. Don't take that tag off!,"[Expansion Set 1, Party Set]"
Beer Bellies,Just think of them as microbreweries.,"[Expansion Set 1, Party Set]"
Bell-Bottoms,Bell-bottoms and pea coats -who would have thought the Navy could be such a trendsetter?,"[Expansion Set 1, Party Set]"
Bigfoot,"Legendary North American monster, a.k.a. Sasquatch or the Abominable Snowman.","[Expansion Set 1, Party Set]"
Bird Watching,A hobby that relies on a wing and a prayer.,"[Expansion Set 1, Party Set]"
Bongos,Small drums played with the fingers. Used in Latin American and African music. The choice of American beat poets.,"[Expansion Set 1, Party Set]"
Brain Surgeons,"Hey, it ain't brain surgery ... oh ... wait a second ...","[Expansion Set 1, Party Set]"
Britney Spears,"1981-, American singer. From mouseketeer to international pop star.","[Expansion Set 1, Party Set]"
Bullwinkle,"As in the cartoon ""The Adventures of Rocky and Bullwinkle"" - the moose half of moose and squirrel.","[Expansion Set 1, Party Set]"
Bumper Stickers,Your personal billboard!,"[Expansion Set 1, Party Set]"
Buying A House,"If only we had the money, we could get a mortgage.","[Expansion Set 1, Party Set]"
Car Bombs,"Not including the Ford Pinto, of course.","[Expansion Set 1, Party Set]"
Carnival Workers,Step right up ...,"[Expansion Set 1, Party Set]"
Casinos,Slots and slots of fun.,"[Expansion Set 1, Party Set]"
Caves,"Stalactites, stalagmites. Which go up and which go down?","[Expansion Set 1, Party Set]"
Cell Phones,Get off the phone or get off the road!,"[Expansion Set 1, Party Set]"
Cesar Chavez,"1927-93, American labor leader who led the 1965 nationwide boycott of California grapes ... a bunch of sour grapes!","[Expansion Set 1, Party Set]"
Chain Letters,Send this game to ten of your friends and good luck will follow. Honest!,"[Expansion Set 1, Party Set]"
Chameleons,The chameleon is a lizard that changes color when frightened -or is that a politician?,"[Expansion Set 1, Party Set]"
Cheesecake,A really tasty dish.,"[Expansion Set 1, Party Set]"
Chicken Pox,Infectious disease usually contracted in childhood. Just don't scratch 'em!,"[Expansion Set 1, Party Set]"
Clowns,They would be really funny if they weren't so darn scary.,"[Expansion Set 1, Party Set]"
Cold Pizza,The breakfast of champions.,"[Expansion Set 1, Party Set]"
Conspiracy Theories,"Oh, that was just a coincidence!","[Expansion Set 1, Party Set]"
Construction Workers,Hard hats -hard bodies.,"[Expansion Set 1, Party Set]"
Corvettes,"In 1953, Chevrolet introduced the Corverre, the first mass-produced sports car with a fiberglass body. The perfect cure for a midlife crisis.","[Expansion Set 1, Party Set]"
Count Dracula,"""I vant to suck your blood!""","[Expansion Set 1, Party Set]"
Crazy Horse,"1849?-77, chief of the Oglala Sioux. A leader in the Native American resistance to the westward expansion on the United States.","[Expansion Set 1, Party Set]"
Creamed Corn,"Eat it, it's good for you.","[Expansion Set 1, Party Set]"
Cults,They seemed nice ...,"[Expansion Set 1, Party Set]"
Danielle Steel,"1947- , Prolific romance novelist. ""Suddenly, Stephanie spotted Lance on the beach ...""","[Expansion Set 1, Party Set]"
Dark Alleys,Don't go there!,"[Expansion Set 1, Party Set]"
Darth Vader,"""Luke ... (wheeze) .. I am ... (wheeze) ... your father ... and you don't write, you don't call ... NOTHING.""","[Expansion Set 1, Party Set]"
David Letterman,"1947- , American television entertainer and talk-show host. And ... the Number One reason to watch him (drum roll, please): TOP TEN LISTS!","[Expansion Set 1, Party Set]"
Death Valley,"Arid, desolate and hellish region of California. Named by a survivor of an attempted 1849 crossing.","[Expansion Set 1, Party Set]"
