red apples/nouns,description,set
A Fairy,"A tiny creature who has magical powers and can fly, like Tinkerbell.",[Junior]
A Forest,"Home to Bambi, Winnie the Pooh, Robin Hood, and many woodland animals.",[Junior]
A Giant,"A very large and powerful person. When Jack climbed the bean stalk, he met a hungry giant.",[Junior]
A King,King Arthur became famous when he pulled a magical sword from a stone.,[Junior]
A Pile Of Leaves,Rake them up and jump in!,[Junior]
A Queen,A wicked queen tried to kill Snow White with a poison apple.,[Junior]
A Saw,A metal tool with sharp teeth used to cut metal and wood. Some are used as musical instruments.,[Junior]
A Surprise,"Something that is unexpected, like a present from a friend.",[Junior]
Airplanes,I want to sit by the window!,[Junior]
Aladdin,Folktale character who found a magic lamp with a gentle genie inside.,[Junior]
An Igloo,A domed-shaped house made from blocks of hard snow or ice.,[Junior]
Ants,Some are black and some are red. I don't want them in my bed!,[Junior]
Apple Juice,Baby's first juice.,[Junior]
Apples,Johnny Appleseed traveled across the United States planting seeds for apple trees.,[Junior]
Babies,Very young children or infants. They cry a lot!,[Junior]
Baby Dolls,"Some of them talk, some of them walk, and some even wet their pants!",[Junior]
Babysitters,The good ones let you stay up late.,[Junior]
Bad Dreams,"Like good dreams, but with monsters.",[Junior]
Baking Cookies,Mix up the dough and put them in the oven.,[Junior]
Balloons,"Lots of colors, shapes, and sizes.",[Junior]
Bananas,Monkeys like them a bunch!,[Junior]
Barbie Dolls,"Tall, thin, fashion dolls with lots of clothes and tiny feet.",[Junior]
Barney,"A large, purple dinosaur. ""I love you, you love me.""",[Junior]
Batman,A superhero who wears a black mask and cape. He drives the Batmobile.,[Junior]
Bats,"Either furry little animals that fly, or sticks used to hit baseballs.",[Junior]
Beanie Babies,Little bean bag creatures that can be played with or collected.,[Junior]
Bears,"Large, shaggy animals with sharp claws and little tails. Sometimes they are named Teddy.",[Junior]
Beets,Round purplish-red vegetables. Do you like beets?,[Junior]
Bert And Ernie,Two nice guys in striped shirts who live on Sesame Street.,[Junior]
Big Bird,"A very large, yellow bird who lives on Sesame Street with Bert and Ernie.",[Junior]
Big Cities,"Very large towns, like New York, Los Angeles and Chicago.",[Junior]
Birds,"""Birds of a feather, flock together.""",[Junior]
Birthday Cake,"What kind of cake, white or chocolate?",[Junior]
Blowing Bubbles,The bigger the better!,[Junior]
Blowing Your Nose,Please use a tissue!,[Junior]
Boats,"""Row, row, row your boat!""",[Junior]
Boys,"""Snips and snails and puppy dog tails.""",[Junior]
Buddies,Good friends - people and pets.,[Junior]
Bugs,"Ants, beetles, spiders, and roaches. It's ""A Bug's Life.""",[Junior]
Bugs Bunny,"A tall, skinny cartoon rabbit. ""What's up, Doc?""",[Junior]
Bumble Bees,"Large, fuzzy bees with yellow and black stripes. Watch out - they sting!",[Junior]
Candles,How many candles are on your birthday cake?,[Junior]
Candy,"Lollipops, jelly beans, chocolates, and lots more. All the good stuff!",[Junior]
Catfish,Fish with feelers that look like whiskers.,[Junior]
Charlie Brown,"""Peanuts"" cartoon character, friend of Linus and Lucy.",[Junior]
Cheese,"Swiss cheese, American cheese, cottage cheese. Say cheese!",[Junior]
Cherry Pie,A flaky pastry filled with cherries.,[Junior]
Chickens,"Hens and roosters. Cluck-cluck, cock-a-doodle-do!",[Junior]
Christmas,"December 25th, a Christian holiday that is celebrated around the world.",[Junior]
Cinderella,A storybook character who is helped by her fairy godmother. Bibbidi-bobbidi-boo!,[Junior]
Cleaning Your Room,"It's no fun, but you have to do it.",[Junior]
Clowns,They often dress in silly outfits and paint their faces!,[Junior]
Corn On The Cob,It's a summertime treat that gets stuck in your teeth.,[Junior]
Cotton Candy,Looks like cotton; tastes like candy.,[Junior]
Cowboys,Men who take care of cattle on a ranch.,[Junior]
Cows,Large farm animals raised for milk. Moo.,[Junior]
Dancing,Moving your feet and body in time with music. Cha-cha-cha.,[Junior]
Dinosaurs,"Reptiles that lived millions of years ago. Some, like the T. rex, were huge!",[Junior]
Dirty Diapers,It must be time to change the baby!,[Junior]
Dirty Socks,Put them in the wash!,[Junior]
