red apples/nouns,description,set
A Bakery,"Some bakers start work at 3:00 in the morning, so breads and donuts are fresh for breakfast.",[Junior 9+ (1st) & (2nd)]
A Broken Leg,I was riding my bike when I hit this big rock . . .,[Junior 9+ (1st) & (2nd)]
A Desert,"Hot, dry and sandy.",[Junior 9+ (1st) & (2nd)]
A Funeral,A ceremony held to honor a person who has died.,[Junior 9+ (1st) & (2nd)]
A School Dance,No chicken dance or hokey-pokey!,[Junior 9+ (1st) & (2nd)]
A Swimming Pool,No diving in the shallow end.,[Junior 9+ (1st) & (2nd)]
A Volcano,Hot lava!,[Junior 9+ (1st) & (2nd)]
Abraham Lincoln,"President of the U.S. during the Civil War. He was called ""Honest Abe.""",[Junior 9+ (1st) & (2nd)]
Africa,The continent located between the Atlantic Ocean and Indian Ocean.,[Junior 9+ (1st) & (2nd)]
Aliens,They're not from around here!,[Junior 9+ (1st) & (2nd)]
Alligators,Large reptiles with strong jaws and long tails. Their skins are made into shoes and purses.,[Junior 9+ (1st) & (2nd)]
Artists,So creative!,[Junior 9+ (1st) & (2nd)]
Baby Food,Strained peas and mushy meat. Doesn't that sound good?,[Junior 9+ (1st) & (2nd)]
Backyards,Your playground at home!,[Junior 9+ (1st) & (2nd)]
Bacon,"Meat from a pig, flavored with salt and smoke. Oink!",[Junior 9+ (1st) & (2nd)]
Bald Eagles,They're not really bald. The white feathers on their heads make them look that way.,[Junior 9+ (1st) & (2nd)]
Ballerinas,It takes years of training before a ballerina can dance in toe shoes.,[Junior 9+ (1st) & (2nd)]
Band-Aids,Available in lots of colors and shapes. A fun way to cover cuts and scrapes.,[Junior 9+ (1st) & (2nd)]
Baseball Games,"""One, two, three strikes, YOU'RE OUT!""",[Junior 9+ (1st) & (2nd)]
Basketball,Some basketball players are over seven feet tall.,[Junior 9+ (1st) & (2nd)]
Beach Balls,Blow them up and watch them blow away!,[Junior 9+ (1st) & (2nd)]
Big Dogs,An adult Saint Bernard weighs over 170 pounds.,[Junior 9+ (1st) & (2nd)]
Blueberries,Blueberries will stain your teeth. Smile!,[Junior 9+ (1st) & (2nd)]
Bowling,A game played by rolling a heavy ball so that it knocks down wooden pins. A perfect score is 300.,[Junior 9+ (1st) & (2nd)]
Braces,"No more gum, no caramels, no corn on the cob.",[Junior 9+ (1st) & (2nd)]
Brains,It's all in your head.,[Junior 9+ (1st) & (2nd)]
