green apples/adjectives,synonyms,set
Adorable,"lovable, charming, delightful","[Basic Set, Party Set]"
Ancient,"elderly, old, antique","[Basic Set, Party Set]"
Animated,"lively, exuberant, spirited","[Basic Set, Party Set]"
Arrogant,"egotistical, overconfident, conceited","[Basic Set, Party Set]"
Awkward,"clumsy, bumbling, uncoordinated","[Basic Set, Party Set]"
Boisterous,"loud, rambunctious, rowdy","[Basic Set, Party Set]"
Boring,"dull, tedious, monotonous","[Basic Set, Party Set]"
Brilliant,"dazzling, gleaming, intelligent","[Basic Set, Party Set]"
Calm,"peaceful, tranquil, placid","[Basic Set, Party Set]"
Casual,"easygoing, blase, nonchalant","[Basic Set, Party Set]"
Charming,"captivating, enchanting, fascinating","[Basic Set, Party Set]"
Cheesy,"trashy, tawdry, far-fetched","[Basic Set, Party Set]"
Colorful,"vivid, brilliant, kaleidoscopic","[Basic Set, Party Set]"
Cool,"chilly, hip, cold-blooded","[Basic Set, Party Set]"
Corrupt,"dishonest, underhanded, shady","[Basic Set, Party Set]"
Courageous,"brave, gallant, dauntless","[Basic Set, Party Set]"
Crazed,"insane, wild, deranged","[Basic Set, Party Set]"
Creative,"imaginative, artistic, original","[Basic Set, Party Set]"
Creepy,"frightening, slithering, scary","[Basic Set, Party Set]"
Cuddly,"loving, tender, huggable","[Basic Set, Party Set]"
Dainty,"delicate, fragile, thin","[Basic Set, Party Set]"
Dangerous,"risky, chancy, hazardous","[Basic Set, Party Set]"
Delicate,"dainty, tender, elegant","[Basic Set, Party Set]"
Delicious,"tasty, pleasing, appetizing","[Basic Set, Party Set]"
Demanding,"difficult, exacting, bothersome","[Basic Set, Party Set]"
Desperate,"frantic, headlong, reckless","[Basic Set, Party Set]"
Distinguished,"dignified, extraordinary, acclaimed","[Basic Set, Party Set]"
Dramatic,"exciting, sensational, theatrical","[Basic Set, Party Set]"
Earthy,"unrefined, natural, crude","[Basic Set, Party Set]"
Easy,"effortless, gentle, promiscuous","[Basic Set, Party Set]"
Expensive,"costly, valuable, exorbitant","[Basic Set, Party Set]"
