red apples/nouns,description,set
A Car Crash,"""Hey, it was an accident!""","[Basic Set, Party Set]"
A Cheap Motel,No charge for the cockroaches.,"[Basic Set, Party Set]"
A Crawl Space,Where you'll find something the cat dragged in.,"[Basic Set, Party Set]"
A Flat Tire,"""Whaddya mean, there's no spare?""","[Basic Set, Party Set]"
A High School Bathroom,"""Fools rush in where angels fear to tread"" -Alexander Pope","[Basic Set, Party Set]"
A Honeymoon,"America's top honeymoon spots are Hawaii, Niagara Falls, Las Vegas and Florida. You can get there by air, land, sea ... or shotgun.","[Basic Set, Party Set]"
A Locker Room,Steamy atmosphere ... bawdy humor ... sweaty bodies ... HEY! Sounds like Cable TV!,"[Basic Set, Party Set]"
A Morgue,"""Given strange eons, even death may die..."" -H.P. Lovecraft","[Basic Set, Party Set]"
A Sunrise,"""But he who kisses the joy as it flies/ Lives in eternity's sunrise."" -William Blake","[Basic Set, Party Set]"
A Sunset,The sun never set on the British Empire ... because God didn't trust the English in the dark.,"[Basic Set, Party Set]"
A Used Car Lot,One of the most honest places around. Honest ...,"[Basic Set, Party Set]"
Abraham Lincoln,"1809-65, 16th U.S. president, led the Union to victory in the American Civil War and abolished slavery. Was assassinated for his efforts.","[Basic Set, Party Set]"
Adolph Hitler,"1889-1945, turned Germany into a militarized dictatorship, caused the slaughter of millions and launched World War II.","[Basic Set, Party Set]"
Albert Einstein,"1879-1855, German-born American physicist and Nobel laureate who created theories of relativity. Nice hair.","[Basic Set, Party Set]"
Alfred Hitchcock,"1899-1980, British-born American director and producer of brilliant psychological thrillers. Right, mother? MOTHER!","[Basic Set, Party Set]"
Americans,How many Americans does it take to screw in a light bulb? THAT'S NOT FUNNY! WE'RE SUING!,"[Basic Set, Party Set]"
Andy Warhol,"1928-87, American painter and filmmaker, a leader of the pop art movement. Famous for slightly more than 15 minutes.","[Basic Set, Party Set]"
Anne Frank,"1929-45, German Jewish girl who wrote in her diary about her family hiding from the Nazis. She died in a concentration camp.","[Basic Set, Party Set]"
Antarctica,"Home to the lowest temperature ever recorded on earth, -126.9 F.","[Basic Set, Party Set]"
Apples,More than 40 million metric tons are produced worldwide every year. How 'bout them apples?,"[Basic Set, Party Set]"
At My Parent's House,"Like never-never land, you're never seen as an adult here.","[Basic Set, Party Set]"
Atomic Bombs,"The Italian physicist Enrico Fermi succeeded in producing the first nuclear chain reaction in 1942, at the University of Chicago.","[Basic Set, Party Set]"
Attack On Pearl Harbor,"""Yesterday, December 7th, 1941, a date which will live in infamy ..."" -Franklin D. Roosevelt","[Basic Set, Party Set]"
Babe Ruth,"1895-1948, American baseball legend, and one heck of a candy bar!","[Basic Set, Party Set]"
Baby Showers,Baby showers may bring flowers ...,"[Basic Set, Party Set]"
Bad Dogs,"Bad dog, bad dog. What'cha gonna do?","[Basic Set, Party Set]"
Baked Potatoes,"Hot potato, couch potato, potato head, twice baked, half-baked, ... whatever.","[Basic Set, Party Set]"
Bangkok,Capital of Thailand. Location: near the Gulf of Siam. Population: five million. Reputation: seedy.,"[Basic Set, Party Set]"
Barfing,We didn't want to bring that up ...,"[Basic Set, Party Set]"
Barney,"Purple dinosaur. ""I love you, you love me, blah, blah, blah ... ""","[Basic Set, Party Set]"
Bart Simpson,"Fictional animated character. ""Don't have a cow, man!""","[Basic Set, Party Set]"
Beethoven,"1770-1827, German composer, considered one of the greatest of the western world.","[Basic Set, Party Set]"
