red apples/nouns,description,set
A Bull Fight,"Also known as ""la fiesta brava"" (the brave festival). A whole lot of bull..","[Expansion Set 2, Party Set]"
A Nine Iron,A golf club best used on short shots or large opponents.,"[Expansion Set 2, Party Set]"
A School Cafeteria,Food fight!.,"[Expansion Set 2, Party Set]"
Adam Sandler,"1966- , American comedian, film star, and Saturday Night Live alumnus. Genius or goofball - you make the call.","[Expansion Set 2, Party Set]"
AIDS,Acquired Immune Deficiency Syndrome.,"[Expansion Set 2, Party Set]"
Amputations,"""A SCRATCH? Your arm's off!"" - Monty Python and the Holy Grail.","[Expansion Set 2, Party Set]"
Angry Hornets,Who put the bees in their bonnets?.,"[Expansion Set 2, Party Set]"
Anthony Hopkins,"1937- , British actor starred in The Elephant Man, Howard's End, and, of course, The Silence Of The Lambs. Knighted in 1992.","[Expansion Set 2, Party Set]"
Armed Robbery,"You got your Robbery, your Armed Robbery, your Strong Armed Robbery, and, of course, the five finger discount.","[Expansion Set 2, Party Set]"
Assembly Lines,Faster. FASTER!,"[Expansion Set 2, Party Set]"
Atlantis,Mythological city where the folks had that sinking feeling.,"[Expansion Set 2, Party Set]"
Babies,"Little bundles of joy ... and who needs sleep, anyway?","[Expansion Set 2, Party Set]"
Baked Beans,"Add a little bacon, brown sugar and Beano!","[Expansion Set 2, Party Set]"
Bankruptcy,It'll be the debt of you.,"[Expansion Set 2, Party Set]"
Bates Motel,"The haunt of Alfred Hitchcock's psycho, Norman Bates ... and mother, of course ...","[Expansion Set 2, Party Set]"
Batman,"How does Batman's mother call him home? ""Dinner, dinner, dinner, dinner, dinner, dinner, dinner, dinner - BATMAN!""","[Expansion Set 2, Party Set]"
Beauty And The Beast,A tale as old as time ... so Disney didn't have to pay royalties.,"[Expansion Set 2, Party Set]"
Beer,"""Beer is proof that God loves us and wants us to be happy."" - Benjamin Franklin","[Expansion Set 2, Party Set]"
Beets,Beats Brussels sprout.,"[Expansion Set 2, Party Set]"
Ben Stiller,"1965-, American actor, director, and funny guy of Reality Bites, There's Something About Mary, and Meet The Parents","[Expansion Set 2, Party Set]"
Big Bang Theory,A cosmological theory for the origin of the universe. An explosive idea!,"[Expansion Set 2, Party Set]"
Big Macs,T w o a l l b e e f p a t t i e s s p e c i a l s a u c e l e t t u c e c h e e s e p i c k l e s o n i o n s o n a s e s a m e s e e d b u n .,"[Expansion Set 2, Party Set]"
Bill Murray,"1950-, American actor and comedian. Star of Ghostbusters, Stripes, Groundhog Day, and Lost In Translation.","[Expansion Set 2, Party Set]"
Bingo,"""There was a farmer, had a dog, and Bingo was his name-o ...""","[Expansion Set 2, Party Set]"
Black Velvet,"Smooth, silky and sophisticated ... until you paint an Elvis on it.","[Expansion Set 2, Party Set]"
Board Games,Games have been played for thousands of years. Some games of Monopoly just SEEM that long.,"[Expansion Set 2, Party Set]"
Body Odor,Over $1.6 billion is spent each year on antiperspirants in the United States. That stinks!,"[Expansion Set 2, Party Set]"
Body Piercing,YOU STUCK WHAT? WHERE?,"[Expansion Set 2, Party Set]"
Bottled Water,How much are you willing to pay for something you can get for free?,"[Expansion Set 2, Party Set]"
Boxing,An ancient and honorable sport - not just for boys anymore ...,"[Expansion Set 2, Party Set]"
Boy Scouts,"International organization for boys and young men founded in England in 1908, to foster character, citizenship and outdoor life.","[Expansion Set 2, Party Set]"
Boyfriends,"""My boyfriend's back and you're gonna be in trouble."" - The Angels","[Expansion Set 2, Party Set]"
