red apples/nouns,description,set
A Cabin In The Woods,Henry David Thoreau went to Walden Pond for two years. All we're asking for is one lousy weekend!,"[Expansion Set 3, Party Expansion 1]"
A Can Of Worms,Now you've opened it.,"[Expansion Set 3, Party Expansion 1]"
A Few Good Men,Is that too much to ask?,"[Expansion Set 3, Party Expansion 1]"
A French Maid,"Ooh, la, la!","[Expansion Set 3, Party Expansion 1]"
A Hole In One,Par for the course?,"[Expansion Set 3, Party Expansion 1]"
A Little White Lie,If you can't say anything nice . . .,"[Expansion Set 3, Party Expansion 1]"
A Million Dollars,If I had a million dollars. . .,"[Expansion Set 3, Party Expansion 1]"
A Mummy,"""Walk like an Egyptian."" - The Bangles","[Expansion Set 3, Party Expansion 1]"
A Ringing In My Ears,"Answer that, would'ya?","[Expansion Set 3, Party Expansion 1]"
A Spare Tire,The good news is: we have a spare tire . . .,"[Expansion Set 3, Party Expansion 1]"
Alan Greenspan,"1926-, chairman of the U.S. Federal Reserve Board.","[Expansion Set 3, Party Expansion 1]"
Amsterdam,"The capital of the Netherlands, and one of Europe's most beautiful and notorious cities.","[Expansion Set 3, Party Expansion 1]"
Ancient Rome,"In ancient times, all roads led to Rome, and the traffic has only gotten worse.","[Expansion Set 3, Party Expansion 1]"
Anna Kournikova,"1981-, Russian-born star of the tennis court and internet.","[Expansion Set 3, Party Expansion 1]"
Anthrax,A potentially deadly infectious disease caused by spore bacteria. Anthrax has been developed as a biological weapon.,"[Expansion Set 3, Party Expansion 1]"
Antiques Roadshow,PBS television program where folks bring oddities for appraisal. One person's trash is another one's treasure.,"[Expansion Set 3, Party Expansion 1]"
Aristotle,"384-322 B.C., ancient Greek philosopher. His writings formed the foundation for much of today's philosophical and political thought.","[Expansion Set 3, Party Expansion 1]"
Armadillo,Burrowing mammal with armor-like bony plat covering. Roadkill extraordinaire.,"[Expansion Set 3, Party Expansion 1]"
Arnold Schwarzenegger,"1947-, Austrian born body-builder turned actor. ""My body is like breakfast, lunch, and dinner. I don't think about it, I just have it.""","[Expansion Set 3, Party Expansion 1]"
Aroma Therapy,Alternative medicine. Something's smelly about it.,"[Expansion Set 3, Party Expansion 1]"
Bagels And Lox,A perfect snack for salmon-chanted evening ...,"[Expansion Set 3, Party Expansion 1]"
Ballroom Dancing,"Fox-trots, tangos, cha-chas, and more! Are you ready to rumba?","[Expansion Set 3, Party Expansion 1]"
Baseball,"Its one, two, three strikes you're out . . .","[Expansion Set 3, Party Expansion 1]"
BB Guns,"You'll shoot your eye out!""","[Expansion Set 3, Party Expansion 1]"
Beanbag Chairs,For beanbag butts . . .,"[Expansion Set 3, Party Expansion 1]"
Big Bird,"Beloved Sesame Street character, or the not-necessarily-beloved U.S. spy satellite.","[Expansion Set 3, Party Expansion 1]"
Billy Crystal,"1947-, American comedian, actor and director. He looks maaaaah-velous.","[Expansion Set 3, Party Expansion 1]"
Black Cats,It's bad luck if they cross your path. You might step in a hairball!,"[Expansion Set 3, Party Expansion 1]"
